Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Description,Medication,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Diet_x,Workout,Severity_Score,Age_Group_x,Recovery_Time_x,Emergency_Signs_x,Comorbidities_Risks_x,Seasonal_Variation_x,Adult_Symptom_Probability_x,Child_Symptom_Probability_x,Symptoms_Keywords,Alternative_Therapies,Diagnostic_Tests,Contraindications,Diet_y,Precautions,References,Medicine_x,Dosage_x,Severity,Age_Group_y,Recommended_Exercises,Recovery_Time_y,Emergency_Signs_y,Comorbidities_Risks_y,Seasonal_Variation_y,Adult_Symptom_Probability_y,Child_Symptom_Probability_y,Medicine_y,Dosage_y
Influenza,Fever,Cough,Fatigue,Myalgia,"A viral infection affecting the respiratory system.",Oseltamivir,Rest,Stay hydrated,Isolate,Seek medical help,"Hydration, Chicken soup","Rest, Light walking",7,Adult,"7-10 days","Respiratory distress","Asthma, COPD",Winter,90,95,"Fever, Cough, Fatigue, Myalgia, Headache, Sore throat","Steam inhalation, Elderberry syrup","Rapid antigen test, PCR",Pregnancy,"Hydration, Chicken soup","Rest, Isolate","WHO, CDC",Oseltamivir,75mg bid,Moderate,Child,Rest,"7-10 days","Respiratory distress","Asthma, COPD",Winter,90,95,Oseltamivir,3mg/kg bid
Migraine,Headache,Nausea,Photophobia,Aura,"A neurological condition causing severe headaches.",Sumatriptan,Avoid triggers,Rest in dark room,Stay hydrated,Seek medical help,"Hydration, Balanced diet","Light stretching, Yoga",6,Adult,"2-72 hours","Status migrainosus","Depression, Anxiety",None,85,70,"Headache, Nausea, Photophobia, Aura, Fatigue, Dizziness","Acupuncture, Biofeedback","Neurological exam, MRI",Cardiovascular disease,"Hydration, Balanced diet","Avoid triggers, Rest in dark room","IHS, NICE",Sumatriptan,50-100mg PRN,Mild,Child,"Light stretching","2-72 hours","Status migrainosus","Depression, Anxiety",None,85,70,Sumatriptan,25mg PRN
Hypertension,Headache,Dizziness,Blurred vision,Chest pain,"A condition where blood pressure is consistently high.",Lisinopril,Reduce salt intake,Exercise regularly,Monitor BP,Seek medical help,"Low-sodium diet, Fruits","Aerobic exercises, Yoga",8,Adult,Lifetime,"Severe chest pain","Heart disease, Stroke",None,75,60,"Headache, Dizziness, Blurred vision, Chest pain, Fatigue, Nosebleeds","Meditation, Tai chi","Blood pressure test",Pregnancy,"Low-sodium diet, Fruits","Reduce salt intake, Exercise regularly","ACC/AHA",Lisinopril,10-40mg daily,Severe,Child,"Aerobic exercises",Lifetime,"Severe chest pain","Heart disease, Stroke",None,75,60,Lisinopril,5mg daily
Diabetes Mellitus Type 2,Frequent urination,Increased thirst,Fatigue,Blurred vision,"A chronic condition affecting blood sugar levels.",Metformin,Monitor blood sugar,Exercise regularly,Follow diet,Seek medical help,"Low-carb diet, High fiber","Aerobic exercises, Yoga",7,Adult,Lifetime,"Diabetic ketoacidosis","Heart disease, Kidney disease",None,80,70,"Frequent urination, Increased thirst, Fatigue, Blurred vision, Weight loss, Slow healing","Chromium supplements","HbA1c, OGTT",Kidney disease,"Low-carb diet, High fiber","Monitor blood sugar, Exercise regularly","ADA",Metformin,500-2000mg daily,Chronic,Child,"Aerobic exercises",Lifetime,"Diabetic ketoacidosis","Heart disease, Kidney disease",None,80,70,Metformin,250mg daily
Gastroenteritis,Vomiting,Diarrhea,Abdominal cramps,Dehydration,"Inflammation of the stomach and intestines.",Oral rehydration salts,Stay hydrated,Rest,Avoid solid foods,Seek medical help,"Hydration, BRAT diet","Rest, Avoid strenuous activity",5,Adult,"1-3 days","Severe dehydration","IBS",Summer,75,85,"Vomiting, Diarrhea, Abdominal cramps, Dehydration, Nausea, Fever","Probiotics, Ginger","Stool culture, PCR",None,"Hydration, BRAT diet","Stay hydrated, Rest","IDSA",Oral rehydration salts,200-400ml after stool,Mild,Child,Rest,"1-3 days","Severe dehydration","IBS",Summer,75,85,Oral rehydration salts,100-200ml after stool
Asthma,Wheezing,Shortness of breath,Chest tightness,Cough,"A chronic respiratory condition.",Albuterol,Avoid triggers,Use inhaler,Stay hydrated,Seek medical help,"Anti-inflammatory diet, Hydration","Light walking, Breathing exercises",7,Adult,Lifetime,"Status asthmaticus","Allergies, GERD",Spring/Fall,85,80,"Wheezing, Shortness of breath, Chest tightness, Cough, Fatigue, Difficulty sleeping","Buteyko method, Steam inhalation","Spirometry, FeNO test",None,"Anti-inflammatory diet, Hydration","Avoid triggers, Use inhaler","GINA",Albuterol,2-4 puffs PRN,Moderate,Child,"Light walking",Lifetime,"Status asthmaticus","Allergies, GERD",Spring/Fall,85,80,Albuterol,1-2 puffs PRN
Common Cold,Runny nose,Sore throat,Cough,Sneezing,"A viral infection of the upper respiratory tract.",Antihistamines,Rest,Stay hydrated,Use saline spray,Seek medical help,"Hydration, Warm soups","Rest, Light walking",4,Adult,"5-10 days","Difficulty breathing","Asthma, Sinusitis",Winter,90,95,"Runny nose, Sore throat, Cough, Sneezing, Nasal congestion, Mild fever","Herbal teas, Steam inhalation","Clinical evaluation",None,"Hydration, Warm soups","Rest, Stay hydrated","CDC",Antihistamines,10mg bid,Mild,Child,Rest,"5-10 days","Difficulty breathing","Asthma, Sinusitis",Winter,90,95,Antihistamines,5mg bid
Strep Throat,Sore throat,Fever,Swollen lymph nodes,Painful swallowing,"A bacterial infection causing throat inflammation.",Penicillin,Rest,Stay hydrated,Avoid irritants,Seek medical help,"Hydration, Soft foods","Rest, Light walking",6,Adult,"7-10 days","Difficulty breathing","Rheumatic fever",Winter,85,90,"Sore throat, Fever, Swollen lymph nodes, Painful swallowing, Headache, Fatigue","Saltwater gargle, Herbal teas","Throat culture",Penicillin allergy,"Hydration, Soft foods","Rest, Avoid irritants","CDC",Penicillin,250mg bid,Moderate,Child,Rest,"7-10 days","Difficulty breathing","Rheumatic fever",Winter,85,90,Penicillin,125mg bid
Pneumonia,Cough,Fever,Shortness of breath,Chest pain,"An infection that inflames the air sacs in the lungs.",Amoxicillin,Rest,Stay hydrated,Take meds,Seek medical help,"High-protein diet, Hydration","Rest, Breathing exercises",8,Adult,"2-3 weeks","Severe breathing difficulty","COPD, Heart failure",Winter,90,85,"Cough, Fever, Shortness of breath, Chest pain, Fatigue, Sweating","Steam inhalation, Herbal teas","Chest X-ray, Sputum culture",Penicillin allergy,"High-protein diet, Hydration","Rest, Take meds","ATS/IDSA",Amoxicillin,500mg tid,Severe,Child,Rest,"2-3 weeks","Severe breathing difficulty","COPD, Heart failure",Winter,90,85,Amoxicillin,250mg tid
Allergic Rhinitis,Sneezing,Runny nose,Itchy eyes,Nasal congestion,"An allergic reaction causing nasal inflammation.",Antihistamines,Avoid allergens,Use nasal spray,Stay indoors,Seek medical help,"Hydration, Anti-inflammatory diet","Light walking, Yoga",5,Adult,Variable,"Severe breathing difficulty","Asthma, Eczema",Spring/Fall,85,80,"Sneezing, Runny nose, Itchy eyes, Nasal congestion, Fatigue, Postnasal drip","Local honey, Steam inhalation","Allergy testing",None,"Hydration, Anti-inflammatory diet","Avoid allergens, Use nasal spray","AAAAI",Antihistamines,As directed,Mild,Child,"Light walking",Variable,"Severe breathing difficulty","Asthma, Eczema",Spring/Fall,85,80,Antihistamines,As directed
